name,ingredient,instructions
1626,"Bourbon whiskey 2.5 oz
Gingerbread liqueur 0.75 oz
Cherry-flavored brandy 0.5 oz
Angostura bitters 2.0 oz
Italian preserved cherry 1.0 oz",Shake well with ice and strain into chilled cocktail glass. Garnish with cherry.
19th Century,"Bourbon whiskey 1.5 oz
Lemon juice 0.75 oz
White creme de cacao 0.75 oz
Lillet rouge 0.75 oz",Shake with ice and strain into chilled cocktail glass.
A. J.,"Applejack 1.5 oz
Grapefruit juice 1.0 oz",Shake with ice and strain into cocktail glass.
Absinthe Cocktail,"Absinthe 1.5 oz
Old mr. boston anisette 1.5 oz
Orange bitters 1.0 oz",Shake with ice and strain into cocktail glass.
Absinthe Drip Cocktail,"Anis 1.5 oz
Sugar 1.0 oz","Pour Anis into special drip glass or old-fashioned cocktail glass. Place sugar cube over hole of drip spoon (or in silver tea strainer). Pack spoon or strainer with cracked ice, pour cold water to fill. When water has dripped through, drink is ready."
Absinthe Special Cocktail,"Absinthe 1.5 oz
Simple syrup 0.25 oz
Orange bitters 1.0 oz",Shake with ice and strain into chilled cocktail glass.
Academic Review,"Irish whiskey 1.5 oz
Applejack 0.5 oz
Amaro nonino 0.5 oz
Rye whiskey 0.5 oz
Demerara syrup 0.25 oz
Mole bitters 2.0 oz",Stir with ice and strain into ice-filled old-fashioned glass. Add orange twist.
Acapulco,"Light rum 1.5 oz
Lime juice 1.0 oz
Triple sec 1.5 oz
Sugar 1.0 oz
Egg white 1.0 units",Combine and shake all ingredients with ice and strain into old-fashioned glass over ice cubes. Add a sprig of mint.
Adam and Eve,"Forbidden fruit 1.0 oz
Gin 1.0 oz
Brandy 1.0 oz
Lemon juice 1.0 oz",Shake well with cracked ice and strain into cocktail glass.
Adderly Cocktail,"Straight rye whiskey 2.0 oz
Maraschino liqueur 0.75 oz
Orange bitters 2.0 oz
Lemon juice 0.75 oz",Shake with ice and strain into cocktail glass. Flame orange twist and add.
Admiral Perry,"Pear-flavored vodka 2.0 oz
Cinnamon schnapps 1.0 oz
Dry vermouth 1.0 oz
White creme de cacao 1.0 oz
Thin pear slice 1.0 units",Stir with ice and shake into chilled cocktail glass. Garnish with pear slice.
Affinity Cocktail,"Straight rye whiskey 2.0 oz
Maraschino liqueur 0.75 oz
Lemon juice 0.75 oz
Orange bitters 2.0 oz",Stir with ice and strain into chilled cocktail glass.
Affinity Cocktail (whisky),"Blended scotch whiskey 1.0 oz
Dry vermouth 1.0 oz
Sweet vermouth 1.0 oz
Orange bitters 3.0 oz",Stir with ice and strain into chilled cocktail glass.
After Dinner Cocktail,"Apricot flavored brandy 1.0 oz
Triple sec 1.0 oz
Lime juice 1.0 oz",Shake with ice and strain into cocktail glass. Leave lime in glass.
